#-------------------------- MACHO Project ---------------------------
# Star 104.20251.50               18:03:34.050 -28:00:18.94 (J2000.0)
#--------------------------------------------------------------------
# Creation date (JD-2.449e+06): 1890.1104            278 observations
# Calibration: instrumental
#--------------------------------------------------------------------
# HJD-2.449e+06    r       err_r        b       err_b     obsid  tran
#    (days)      (mag)     (mag)      (mag)     (mag)
#--------------------------------------------------------------------
    54.2919     -7.976     0.017     -6.969     0.022      4096     0
    62.2839    -99.000   -99.000     -7.091     0.019      4245     0
    65.2374    -99.000   -99.000     -7.194     0.016      4316     0
    66.2445     -8.213     0.016     -7.188     0.016      4381     0
    67.2132     -8.218     0.016     -7.224     0.017      4401     0
    70.2273    -99.000   -99.000     -7.260     0.015      4573     0
    76.2393     -8.435     0.016    -99.000   -99.000      4672     0
    77.2944     -8.468     0.016     -7.464     0.018      4756     0
    79.2549     -8.519     0.016    -99.000   -99.000      4808     0
    81.2868     -8.570     0.016    -99.000   -99.000      4880     0
    83.2176     -8.649     0.020     -7.677     0.030      4935     0
    87.1737     -8.771     0.016     -7.748     0.017      5063     0
    87.1776     -8.750     0.017     -7.743     0.020      5064     0
    89.1569    -99.000   -99.000     -7.800     0.017      5141     0
    89.1608     -8.822     0.016     -7.828     0.019      5142     0
    90.2438    -99.000   -99.000     -7.861     0.016      5210     0
    92.2503     -8.922     0.017     -7.909     0.021      5224     0
    92.2541     -8.920     0.016     -7.927     0.020      5225     0
    94.2964     -9.004     0.015     -7.997     0.016      5278     0
    95.1988     -9.051     0.015    -99.000   -99.000      5351     0
    98.2029     -9.166     0.015    -99.000   -99.000      5630     0
   100.1307     -9.258     0.015    -99.000   -99.000      5757     0
   104.1196     -9.418     0.015    -99.000   -99.000      5925     0
   108.2585     -9.594     0.015     -8.589     0.015      6112     0
   109.1045     -9.614     0.015    -99.000   -99.000      6168     0
   112.1520     -9.715     0.016    -99.000   -99.000      6334     0
   113.1257     -9.713     0.015    -99.000   -99.000      6407     0
   115.1390     -9.729     0.015     -8.737     0.016      6515     0
   118.1277     -9.713     0.015    -99.000   -99.000      6588     0
   119.2427     -9.700     0.015    -99.000   -99.000      6673     0
   121.1323     -9.636     0.015    -99.000   -99.000      6756     0
   123.1618     -9.584     0.015     -8.576     0.016      6895     0
   124.1077     -9.559     0.015    -99.000   -99.000      6973     0
   125.1163     -9.527     0.015    -99.000   -99.000      7077     0
   126.1118     -9.495     0.015     -8.487     0.015      7183     0
   127.1044     -9.445     0.015    -99.000   -99.000      7294     0
   127.3036     -9.442     0.015     -8.454     0.016      7340     0
   128.0709     -9.422     0.015    -99.000   -99.000      7393     0
   128.2803     -9.411     0.015     -8.405     0.015      7449     0
   131.0741     -9.306     0.015    -99.000   -99.000      7488     0
   133.0888     -9.218     0.015    -99.000   -99.000      7541     0
   134.0787     -9.188     0.015    -99.000   -99.000      7618     0
   135.1042     -9.248     0.015    -99.000   -99.000      7700     0
   135.2800     -9.151     0.015     -8.143     0.015      7742     0
   136.0776     -9.128     0.015    -99.000   -99.000      7798     0
   139.1280     -9.019     0.016    -99.000   -99.000      7827     0
   141.1451     -8.967     0.016    -99.000   -99.000      7861     0
   142.0966     -8.933     0.016    -99.000   -99.000      7911     0
   143.0997     -8.893     0.016     -7.898     0.018      7973     0
   143.1664     -8.927     0.025    -99.000   -99.000      7988     0
   147.0283     -8.789     0.016    -99.000   -99.000      8282     0
   148.0600     -8.752     0.016    -99.000   -99.000      8307     0
   152.0400     -8.669     0.017    -99.000   -99.000      8336     0
   153.0132     -8.647     0.015    -99.000   -99.000      8439     0
   154.0377     -8.670     0.015    -99.000   -99.000      8547     0
   156.1999     -8.575     0.016     -7.569     0.018      8604     0
   157.0497     -8.548     0.016    -99.000   -99.000      8655     0
   157.1748     -8.555     0.016     -7.567     0.017      8684     0
   160.1740     -8.492     0.016    -99.000   -99.000      8714     0
   161.9691     -8.455     0.018     -7.457     0.026      8740     0
   162.1852     -8.457     0.019     -7.445     0.026      8791     0
   163.0090     -8.441     0.016    -99.000   -99.000      8844     0
   163.2063    -99.000   -99.000     -7.453     0.021      8887     0
   164.0213     -8.433     0.015    -99.000   -99.000      8952     0
   164.2186     -8.411     0.016     -7.429     0.017      8990     0
   165.0027     -8.403     0.016    -99.000   -99.000      9049     0
   165.2101     -8.398     0.017     -7.421     0.020      9096     0
   165.9861     -8.381     0.016    -99.000   -99.000      9143     0
   166.1911     -8.390     0.016     -7.397     0.018      9189     0
   166.9639     -8.368     0.016     -7.373     0.017      9229     0
